BALANCE_FREQUENCY,PURCHASES,INSTALLMENTS_PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
1,0,0,6500,1502.205631,2864.380327
1,5100.07,3952.24,9000,6409.496345,9827.045323
1,1032.04,805.14,4000,3056.424974,910.707525
1,45.65,0,1800,440.840439,312.560636
1,405.6,0,2400,0,
1,213.34,0,2400,0,
1,0,0,1200,151.823651,2906.110765
1,739.44,0,6000,417.128532,389.138517
1,0,0,4000,0,
0.363636,79,79,7000,217.820198,121.781205
0,0,0,3000,138.021428,
0.666667,20,0,1500,26.487919,60.913577
0.272727,1346.28,1346.28,2000,712.149153,54.79166
1,2823.8,1283.39,5700,9172.788366,2103.796148
0.090909,389.96,389.96,4500,0,
1,0,0,4000,2236.890255,214.828158
1,808,0,4000,532.741699,1026.976
1,941.64,941.64,2500,1097.78942,176.610605
1,0,0,8000,1241.538024,1439.230899
1,423.7,246.06,2000,577.050373,498.365419
1,4478.75,1757.16,9000,10857.94321,2469.571326
0.818182,1354.86,769.23,5500,858.976682,108.319927
1,0,0,4200,0,
1,2812.2,1955.08,8500,1509.423237,1834.031569
1,0,0,7000,1277.76778,2760.115734
0.818182,1508.9,256.54,5000,1884.227778,136.639824
1,1045.57,377.62,3000,552.432305,207.720441
0.636364,2309.78,2309.78,6500,1206.81188,99.372848
1,0,0,1800,687.691735,2439.136113
0.272727,495,495,7000,1969.845566,147.049952
1,0,0,3000,932.418855,709.207016
1,6724.26,2624.18,17000,1888.756861,2167.446204
1,1174.39,0,9000,0,
1,5580.85,5580.85,8500,3564.977774,630.00413
1,0,0,3200,1065.426905,1412.648089
1,0,0,19000,3066.614272,3406.258999
1,12462.44,0,2800,11628.71557,2000.990921
0.75,0,0,1200,385.853874,84.697292
1,1957.3,880,5000,1004.35474,1086.428906
1,150.64,0,17000,2606.059389,2894.077159
0.090909,0,0,13000,0,
0.272727,907,0,5000,0,
1,1271.12,919.58,5000,1906.032044,3572.279251
0.636364,250.6,250.6,3000,319.762903,173.632006
1,796.33,0,13000,10664.65866,2600.875721
1,440,440,4000,554.116542,185.091037
1,1330.62,160.99,2000,1020.783647,709.610053
1,5491.79,4101.29,17000,1015.311953,615.92402
1,897.86,183.34,1200,972.358048,184.524376
1,22009.92,12560.85,18000,23018.57583,18621.01331
1,720.6,0,2500,1061.292471,689.118919
1,197.06,48.4,1000,492.200419,509.384182
0.818182,0,0,7500,1566.806897,172.959728
1,0,0,7000,0,
1,2084.48,784,21500,3219.621433,3068.125648
1,5779.36,2342.83,6500,4416.41268,546.439139
1,1025,0,7500,698.854095,819.682666
0.909091,689.7,689.7,10000,746.691026,
1,28.65,0,9000,1235.630069,194.324456
0.909091,944.96,780,1500,1955.198953,992.652486
1,1039.2,959.2,13500,1855.235407,468.196732
1,4059.93,4059.93,7000,3685.61062,12854.9397
1,4075.37,753.09,6500,2254.26002,329.29648
1,870.24,870.24,8000,835.839952,193.011166
1,9792.23,5832.42,20000,11717.30794,6042.391629
0.636364,2463.12,1673.59,4000,2573.722764,95.342224
0.363636,1859.34,1859.34,20000,3104.275623,288.903628
1,3488.49,226.24,7900,0,
1,0,0,1800,363.474455,2827.997525
1,7283.31,2196,11000,14373.3929,1058.128452
1,295,0,1200,439.407082,362.838185
1,0,0,3000,778.827993,721.798576
1,0,0,8500,1009.185035,1177.149934
1,648.22,533.22,1200,1110.886425,208.298424
1,557.19,31.55,4000,422.711848,616.005839
1,469.98,469.98,1000,367.109312,86.102479
1,0,0,6500,1346.365584,1972.526015
0.363636,131.64,131.64,8000,2916.071564,243.199498
1,5078.14,747.61,15000,4756.654374,241.894073
1,924.6,924.6,1000,1202.711782,1747.037345
1,1975.4,581.9,4000,1795.012223,167.219681
0.666667,0,0,4000,3621.266477,193.171404
1,10221.35,3079.97,10500,10693.49585,347.641073
0.363636,300,300,12500,291.948834,43.452683
0.857143,0,0,3000,1423.788603,461.365626
1,5715,1029.46,14000,4639.513745,3192.306018
1,0,0,1800,470.565984,408.799147
1,766.61,0,2300,0,
1,0,0,3000,2431.578544,1739.74883
1,3535.8,1921.1,20000,2814.231227,186.230835
0.454545,256.11,256.11,5300,831.375322,189.036967
1,2697.48,2546.98,2500,1686.196344,303.361632
0,23,23,5000,0,
1,117,117,4500,17301.83238,931.618475
0.090909,196.81,23.81,12000,0,
1,653.73,160.73,10000,441.588141,136.827952
0.818182,2009.05,2009.05,1200,2612.760497,197.638558
1,147.78,147.78,6000,1186.062765,374.595505
1,516.54,357.47,900,579.749308,693.894717
1,969.56,0,2400,0,
1,311.45,0,1500,277.522439,286.299328
0.727273,280.4,0,6150,254.392984,55.79974
1,66.14,0,6000,0,
0.363636,79.2,0,4000,1647.880773,24.815878
1,1453.32,1453.32,16500,1382.269127,1755.253802
1,756.54,0,4000,1110.870941,1431.201171
1,3507.35,2903.6,11500,1412.597253,1825.176503
0.818182,3163.69,3106.89,8000,2422.911622,187.046284
0.909091,1343.19,260.4,15000,1043.55929,182.429461
1,873,0,8000,541.722532,762.682834
1,47.55,47.55,6000,2976.579866,3463.174962
0.454545,370,0,23000,1212.054219,68.725483
0.909091,405.75,92,2000,1249.835142,313.052687
0.909091,261.64,261.64,4000,376.758504,169.78292
1,1989.28,1146.48,14000,4720.900413,2557.044576
1,10848.5,2640.5,7500,9423.715495,2925.275522
0.090909,43.39,43.39,4000,130.107234,29.700051
1,645.32,0,1800,2591.391006,808.217224
1,987.1,125,10500,1941.541158,2391.987571
1,1464.14,485.43,11500,1658.563509,1887.413517
0.454545,927,327,5000,1260.16384,59.04439
1,393.62,239.9,10000,1919.630466,1731.549385
1,965.5,89.37,7500,1034.932404,941.496383
0.818182,0,0,7500,4543.63481,647.20869
1,336.41,0,6000,947.696134,217.027653
0.727273,540,540,4000,548.967281,48.659935
0.181818,36,36,7500,0,
1,878.52,775.42,1500,542.836917,471.496776
0.545455,144.26,77.18,11500,134.710832,75.515008
1,493.85,52.5,2000,2795.059574,2661.324808
1,4490.69,1034.44,8500,5763.666926,582.589765
1,11188.62,5089.46,10000,11994.41815,8517.258683
1,1829.2,36.5,7000,971.234118,985.954762
0.857143,75.99,0,2700,69.163384,99.401747
1,1824.16,225.6,14500,1508.016452,1370.519926
1,9325.22,0,8500,11036.72668,1824.680131
1,100,0,4000,125.769169,104.857518
1,1431.89,1001.2,4000,2384.542045,3868.70983
1,2260.41,904.08,8500,2187.930651,739.224894
0.333333,0,0,1200,1068.581252,25.537
0.909091,10410.49,9251.65,19500,9695.650901,726.696049
1,990.7,508.7,1400,505.317328,438.324017
1,3034.92,3034.92,2900,2928.909865,2733.317012
1,1038.81,0,5700,1215.454299,422.331098
1,45.65,0,2500,542.7463,628.211031
1,2641.98,1255.68,3000,1839.928884,1075.456585
1,1189.52,0,8000,0,
1,300,300,12000,1975.974183,1774.584333
1,126.69,83.81,10500,2515.435738,975.504012
0.545455,247.09,247.09,5500,409.594792,69.921472
1,301.1,218.1,1950,586.974046,1089.040271
0.818182,1112.2,0,7200,0,
0.636364,2410.07,739.57,4000,3773.727455,169.879335
1,5350.19,566.85,8000,5825.602115,318.305326
1,630.03,0,5500,426.092563,213.369694
1,3197.24,1117.22,3000,3574.480603,1328.897516
0.363636,133,133,3000,130.61272,41.436595
1,1646.16,622.74,12000,1055.835407,236.619362
1,79.66,79.66,1500,75.896288,75.967742
1,319.92,319.92,12000,10993.89211,2501.560923
1,3677.52,133.79,12500,2657.856602,1912.298544
1,1041.63,0,4000,3033.665478,716.70488
1,675.96,675.96,1000,1851.602411,1382.292833
1,193.14,193.14,2000,220.46377,71.965063
1,1703.23,0,11500,1449.039414,183.298253
1,0,0,6000,1350.318606,1249.937085
0.363636,234.16,234.16,1500,479.910499,149.977816
0.818182,29.68,0,10000,76.943584,75.595199
1,1322.67,225.96,11000,802.38543,229.655091
1,1607.88,1607.88,13500,1583.411686,2216.638394
1,0,0,1800,2166.981163,568.063083
0.818182,3183,0,9000,3823.346244,629.080506
1,3014.23,1673.89,4500,1350.370286,655.633916
1,7323.38,2378.5,3000,3792.095079,1737.893866
1,8533.54,4460.78,10000,4758.209146,7256.951816
0.727273,408.93,334.13,9000,2161.153147,312.343947
1,3999.92,3799.92,7500,5624.074339,9952.672511
1,2980.46,2322.68,6000,1116.967993,289.439818
1,560.73,0,7500,717.798364,670.049653
1,569.9,0,9500,634.000055,92.012927
1,6186.77,87.69,10950,11198.92613,608.36886
1,4550.81,1533.83,8500,4317.191232,208.73456
1,150.8,0,7500,990.524408,989.783286
1,1385.1,380,14000,1280.473571,193.369942
1,32539.78,5992.35,11500,26652.34432,1971.129435
1,410.24,365.53,16500,12005.3074,1055.547896
0.181818,47.95,0,1500,294.507498,86.245988
1,126.57,0,2100,483.557464,524.426392
0.272727,380.89,0,5700,0,
1,414,414,10500,5863.94034,570.250342
1,2010,1380,8500,859.829946,479.831475
1,4693.15,360.5,13500,4786.64868,1741.158024
1,498.96,498.96,1000,829.505486,1623.389428
1,224.2,76.08,9500,568.336995,272.270427
1,2856.57,1933.73,2500,2914.419813,2173.680619
0.818182,0,0,3000,2755.877257,144.621645
1,0,0,7000,6010.525656,1793.262654
1,0,0,3000,871.713321,609.206784
1,409.63,57.76,5000,580.13865,1114.588285
0.636364,843.34,0,6500,1024.267592,122.850835
1,0,0,6000,1362.966798,2019.027883
1,2236.49,1477.97,10000,1986.838064,233.614975
1,464.51,65.1,6000,1515.594331,2092.915898
1,1779,0,5000,856.05828,761.012234
1,0,0,4000,1057.678259,1229.820066
1,456.36,456.36,6000,370.996177,163.287618
0.818182,5758.71,3506.34,2900,7943.57021,197.416104
1,245.98,0,6000,2261.523522,388.258009
1,0,0,12000,1786.142816,1351.998523
1,733.9,0,3000,1620.193277,857.535876
1,1641.07,0,500,1583.918811,137.046292
1,674.73,0,4000,1139.058595,1403.477006
1,2702.47,1176.16,11000,7596.768364,1013.086448
1,0,0,8000,8019.800702,964.118618
0.727273,1579.15,116.8,2700,451.600059,199.955286
1,0,0,11000,1933.413908,2576.552758
1,2161.38,1709.88,4500,2059.879468,165.05215
1,1482.19,1036.12,6000,1289.570234,173.686552
1,1446.05,901.6,3500,1364.121036,186.240772
0.909091,0,0,4500,312.433361,648.139459
1,397.06,93.36,2100,0,
1,498.17,39.15,15000,611.606459,162.94308
1,2009.12,712.44,2500,2715.972095,956.330023
1,5359.02,2959.24,6000,0,
1,0,0,1000,719.974244,339.553093
1,0,0,5500,1151.721386,627.015802
1,0,0,1000,117.542764,137.6915
0.857143,0,0,7000,863.62306,1148.631716
1,126.2,0,1950,314.302968,417.290247
1,225,225,1500,325.578502,286.122587
0.090909,734.97,575.97,6000,1159.135064,
1,14.95,14.95,5700,1289.284068,1172.289863
1,874.98,524.98,12500,2055.100879,2199.077716
1,0,0,7500,1493.089193,2488.976669
1,445.2,0,8000,1042.991769,579.587654
1,0,0,4500,476.162309,401.970276
1,689.34,689.34,1500,453.842413,148.28357
0.727273,2006.87,1586.27,21000,19714.09728,1479.309409
1,678,0,2500,1926.31853,1933.173023
1,0.05,0,1000,1084.281127,367.409536
1,3085.69,52.72,8500,2690.525687,192.66679
1,0,0,3000,642.777061,1122.076137
0.909091,1080,0,6000,1077.058667,169.005281
1,2721.16,303.75,6500,4952.900653,280.821958
1,3095.96,1712.4,14000,4003.782858,197.186568
0.909091,0,0,2300,2147.890523,2077.873573
1,71.07,71.07,9500,9226.751112,797.250949
0.181818,65,65,1200,718.794328,53.655347
1,4786.61,388.97,9000,3805.669705,163.459999
0.454545,174.42,174.42,2500,347.08638,149.301101
1,242.88,242.88,13500,6084.115091,890.639118
1,216.94,0,3200,222.02316,300.210049
0.454545,2246.3,0,6000,32048.6122,406.790252
1,361.73,0,1500,535.606816,432.68808
0.6,330,0,1800,345.330572,85.297166
1,2854.11,1056.15,9500,2437.332725,176.283228
0.454545,390,300,2000,302.454171,74.667401
1,422.18,0,5500,2961.632199,440.30634
1,1005.52,541.02,3000,1866.265366,237.328382
1,2132.93,1173.83,11000,8251.146946,834.025674
0.909091,284.72,284.72,5000,344.161416,155.792859
1,0,0,10500,1288.287239,1164.178674
1,3244.16,763.31,11500,5674.185857,563.827502
1,2490.17,1585,9500,3957.017497,4951.58548
0.090909,1098.31,0,4800,0,
0.181818,636.15,0,8500,918.414211,57.150516
1,3018.93,1316.31,5000,3909.837604,444.12429
1,1222.97,1020,19500,1142.077891,185.657751
1,110.18,110.18,6000,1716.998424,2463.472147
0.636364,0,0,3000,2298.902197,214.263752
1,0,0,1800,548.589391,529.340488
1,983.77,380,2400,389.411161,219.465695
1,0,0,1500,866.865018,354.381003
0.75,423.24,136.24,11000,296.01675,134.448872
1,6079.5,1360,7300,18552.39489,762.263884
1,439.38,0,1200,237.996469,265.708814
1,1207.25,1207.25,1200,1282.705869,1300.596775
1,259.13,0,2300,2680.635587,2503.374595
1,1627.69,1627.69,5500,2507.704747,7490.453967
1,0,0,8000,2845.010795,2459.741299
1,0,0,8000,10973.14532,2384.817152
1,5749.96,310,12000,5711.540654,202.73209
1,1490.94,1490.92,9000,2116.662516,3598.719728
0.181818,0,0,3000,0,
1,5068.88,1539,4500,3904.568067,373.931063
1,1067.28,1067.28,2000,2021.775795,3073.416298
0.545455,64.12,0,7000,176.600545,76.462301
1,6855.59,4092.67,18500,4868.088671,2861.890896
0.636364,1631,1631,2500,2550.799492,157.269321
0.909091,180.91,0,1400,802.858576,220.455533
1,0,0,1600,353.582373,559.030296
1,136.88,136.88,14000,3519.008859,3430.627754
1,0,0,2000,1177.661577,190.365154
0.727273,343.21,0,1500,930.328071,3245.693485
0.272727,16.5,0,6000,57.595083,67.1925
1,5708.18,1123.4,4000,5589.952268,232.131169
0.3,42.3,0,6000,361.853722,645.320421
1,46.67,0,1800,338.413344,642.547142
1,0,0,9000,677.144841,27631.45072
1,699.12,699.12,2500,697.977603,183.858351
1,245.39,245.39,4000,328.796655,165.308304
1,98,0,4000,192.369983,221.375942
1,857.36,0,6550,3239.629759,411.871046
0.818182,2747.12,1500,5000,4730.374245,481.558276
1,11147.33,10009.93,11000,7932.77402,17494.90735
1,600,600,1000,249.066308,184.776562
1,0,0,10000,541.308981,724.956358
1,255.12,250.12,8500,1703.332126,1121.510137
1,1221.53,41.53,1200,1421.035206,106.039362
1,0,0,13000,1336.016317,1606.963379
1,780.64,580.99,3500,663.553502,483.836254
1,1532.1,1309.1,5000,1834.368953,212.770698
1,778.33,778.33,2000,1411.329676,1430.50774
0.875,964.06,704.06,6000,565.71913,1241.283569
1,1667.13,603.99,13000,1669.260634,208.701639
1,0,0,8000,0,
1,1088.83,570.44,9000,6862.520735,994.384835
0.363636,648.64,318.64,2500,0,
1,0,0,2100,444.783009,671.420908
1,0,0,4500,4226.578611,691.692633
0.363636,1897.92,1800,13500,5563.437084,248.700571
1,0,0,6200,802.038512,291.307669
1,1263.29,983.3,9500,1356.425369,179.894243
0.125,200,200,1200,0,
1,340,0,6000,2162.141639,2009.821743
1,1277.58,1277.58,7000,552.734714,173.336309
1,4117.24,3827.24,6000,4561.589382,199.730537
1,226.23,0,15000,1885.239981,4980.192685
1,3970.8,1703.8,7500,3879.252512,1868.983718
0.545455,1346.9,318.9,8000,1369.437449,98.678839
1,1050.83,982.93,5000,4673.520993,982.544984
1,1364.99,1300,2000,1849.10398,263.163209
1,0,0,1500,331.670616,479.771774
1,0,0,4500,0,
1,7553.48,4909.95,13500,5377.338091,1365.123434
0.909091,570.16,570.16,9000,6124.31525,362.970189
1,566.28,135.27,4000,1298.823687,858.977427
1,0,0,8000,422.878799,269.178995
1,0,0,1800,357.836436,631.106468
1,137.34,0,10000,1874.954894,1716.092764
1,0,0,10000,2052.533488,1886.223361
1,0,0,9000,6918.272206,1035.039239
1,332.82,332.82,5000,5810.994681,1284.011712
0.636364,1377.72,0,2500,182.177646,200.759856
1,0,0,6000,2996.735376,1855.766226
0.818182,0,0,1500,2008.971745,277.582819
1,360.7,0,8000,5147.693822,2610.053885
1,222.64,222.64,4500,1017.241855,1225.908506
1,1634.74,258.74,13000,1094.345336,1194.234398
1,0,0,1200,591.853821,204.676682
1,759.15,0,6000,994.500495,1384.111493
0.363636,243.36,0,1800,546.417272,134.985783
0.9,0,0,10500,7566.577763,1943.431564
0.818182,0,0,2500,1370.235544,373.893161
1,519,519,4500,621.255763,210.248259
1,3055.87,0,4500,2198.293667,784.387878
1,2470.4,2012.67,9500,3340.041274,3024.949485
1,1671.6,1191.6,1800,1021.907217,179.585842
0.454545,903.36,0,15000,538.841222,41.302445
1,0,0,1200,274.653536,327.072615
0.545455,229.5,175.5,3150,423.206638,157.471831
1,1476.19,0,2500,1493.919986,382.989143
1,2506.89,0,8500,1230.219396,1646.973276
1,2570,2077.54,4500,3259.958288,5620.295192
1,238.34,238.34,15000,1194.510762,1206.257247
0.875,1342.36,304.4,4000,288.883026,312.026316
0.818182,786.32,600,7500,881.284581,97.186371
0.909091,1450.68,1450.68,6000,1583.421932,137.826186
1,1239.46,487.18,1500,401.217047,177.766827
1,96.75,62.1,1800,452.225512,411.612521
1,4106.15,1417.69,12000,9678.173119,606.899183
1,2022.38,130,6000,939.306791,301.000749
1,3654.08,3362.67,2500,3301.334578,180.338402
1,883.73,426.11,3000,632.062443,568.410749
1,795.54,628.14,1700,1804.065076,261.258072
1,0,0,1200,541.101815,286.374289
1,0,0,7500,1088.755323,1189.693931
1,1382.57,304.82,2400,1580.0815,466.772558
1,565.5,565.5,8500,2768.795805,199.803721
1,4462.86,1646.4,11800,1793.043228,3101.01703
0.363636,1726.67,0,6000,4804.383296,128.834658
1,217,0,9000,10428.37611,1599.353926
1,0,0,4000,1067.405461,911.08543
1,1748.73,1230.29,6500,2497.488126,1584.520204
1,0,0,1800,586.426259,494.954634
1,50.98,50.98,1200,320.592941,385.347014
1,378.04,378.04,11300,4315.936534,4483.503862
1,1483.12,397.93,5000,1357.36111,1919.690041
0.727273,6407.67,2682.34,14500,3484.429075,108.937025
0.909091,0,0,3500,547.23924,1111.251287
1,70,0,8500,566.292758,218.497636
0.545455,449.96,449.96,7000,1023.209164,127.78905
1,3355.33,1050,6500,2087.871747,207.584121
0.545455,0,0,10000,14481.46544,19.492021
0.727273,0,0,3000,142.286073,164.391437
1,3220.09,278.7,15000,826.764555,212.075152
1,6558.55,0,7000,5872.707939,169.703195
1,0,0,4000,1006.358943,1819.542692
1,4305.05,1399.34,9500,4030.061017,197.534405
1,262.1,0,13000,1629.239381,1998.044046
0.727273,1626.83,797.98,13000,1924.101393,123.522314
1,3522.57,2040.57,6000,1165.621928,1520.54755
1,0,0,18000,2662.365409,2539.198217
1,8194.05,913.78,6000,7069.804042,216.277252
1,1604.8,77.5,4500,191.366024,307.812023
1,709.9,100,7000,826.576112,817.39586
1,174,0,14000,3251.190662,3872.099498
1,0,0,4500,552.713988,585.776445
1,0,0,1700,1076.722225,1206.741644
0.636364,913,913,7500,1718.487894,140.181283
1,606.62,7.67,2750,1043.617154,1342.522124
1,1447.01,1140.7,2400,642.723723,457.255269
1,41050.4,426.34,17000,36066.75068,15914.48462
1,727.27,0,20000,822.928249,206.656437
1,1869.88,1054.77,4000,999.235386,280.393252
0.818182,182.94,182.94,5000,1391.649702,186.774371
0.727273,379.28,379.28,2500,641.943628,156.644197
1,874.94,874.94,1500,716.241063,1502.744095
1,26402.39,4145,16500,24529.27662,534.032339
1,0,0,3000,677.649435,1187.962476
1,1752.15,187.99,10300,1489.597574,1549.64691
0.909091,400.41,489.39,4500,353.570259,132.13182
1,13771.63,9268.32,14500,16826.42443,451.636081
1,1172.68,0,9500,4820.842925,760.028047
1,1653.6,1300,5000,3410.253378,3451.70216
1,4238.79,2018.4,10500,3528.728592,287.515344
1,907.37,0,10000,908.907467,184.723457
1,0,0,3000,304.984801,427.594038
0.181818,0,0,12500,0,
1,569.34,569.34,16500,758.421856,163.044353
1,305.78,305.78,1500,518.757481,19977.00572
1,529.3,0,19000,2051.14647,3905.740148
1,2001.19,1790.76,4500,3058.768463,5067.863223
0.454545,0,0,3000,832.894753,706.541302
1,1020.47,835.47,6500,1099.15757,163.155119
1,4754.32,1117.79,9500,1924.73689,957.077692
1,0,0,1200,308.089987,361.250401
1,331.95,0,8000,4453.691497,1088.959964
0.818182,1490,0,12500,573.307364,747.486806
1,558.28,287.76,8000,601.746596,149.982513
1,1477.44,577.44,1500,559.095981,1058.84479
0.909091,1051.1,1051.1,3000,1301.155857,168.227161
1,2242.26,1019.3,2850,2073.374513,874.422722
1,179.24,120.24,4000,217.546584,368.652894
1,972.65,809.7,5500,807.047622,590.361005
1,4620.34,319.92,7500,6476.333335,1090.368608
0.181818,1023.8,0,20000,5872.895164,116.063003
1,6344.3,1905.5,12000,2890.901993,694.340138
1,1549.61,0,17500,1727.425472,1770.058766
0.454545,734.11,0,5000,1537.307484,102.554198
1,2274.21,991.36,5000,5174.255034,6174.387335
1,1635.69,1635.69,3000,1442.488419,1113.097672
0.272727,627.03,145,6000,1513.704151,112.874987
1,55.5,55.5,3000,3432.757202,421.385587
0.833333,277,0,8500,814.605178,109.433095
0.909091,7479.95,0,15000,7521.226078,319.437528
1,3937.59,1331.17,9500,1248.498168,1143.849403
1,6300.4,0,16500,4924.941312,182.288774
1,1856.64,1856.64,1800,1591.559543,1991.577214
0.8,4924.41,0,10500,3430.597877,149.408227
0.833333,1308.11,0,1500,236.764555,207.007715
1,49039.57,8278.32,22500,46930.59824,2974.069421
1,4604.72,584.39,9000,4201.889848,7060.930982
1,227.8,0,9500,6710.905443,6510.915661
1,2327.49,0,6000,2322.412643,360.670758
0.818182,1199,0,6750,11634.38713,422.041626
1,1174.76,1174.76,4500,1280.294998,203.755356
1,0,0,4000,1084.059239,1228.291582
1,469,183,7000,2676.467444,1468.475204
1,0,0,6000,2060.020446,1306.960035
1,133.39,0,2500,168.425788,169.473399
1,10700.63,7787.98,6000,9853.313787,280.014823
1,0,0,1500,1328.855136,189.52525
1,49.1,49.1,1000,59.924534,8269.955787
1,11313.77,1180.07,6000,10718.04224,281.611634
1,0,0,1200,432.048813,256.494357
1,3525.37,3525.37,15000,14083.96809,1442.933291
0.909091,258.74,0,12000,502.486404,105.034384
1,2448.6,2448.6,1700,227.514473,38512.12477
0.727273,293.99,99,12500,287.796655,93.027601
1,709,0,10500,2447.227264,2042.09446
1,1628.07,0,5000,654.505745,507.655831
1,0,0,3150,394.285767,10636.14839
1,0,0,7000,809.880619,663.360789
0.090909,165,0,15000,0,
1,11681.64,0,10500,8145.713972,1198.614519
0.727273,98.97,98.97,2500,3594.989864,445.215577
1,0,0,7500,1984.351035,3082.801095
1,1142.15,124.5,9000,2079.521171,2902.18515
1,1494.5,0,8500,2031.589282,462.41515
0.909091,646.24,0,10000,540.021578,183.086463
1,0,0,3500,3009.926784,505.965923
1,3608.88,1484.13,15000,2419.651857,182.527745
1,0,0,7500,4539.526102,2183.319473
1,0,0,5000,985.516901,1708.136351
1,12465.21,2659.48,13000,9290.702248,653.194444
1,7823.74,258.93,19000,11123.40918,4467.520244
0.454545,24.64,0,1800,45.640106,26.849523
1,27957.68,4924.71,9000,27255.00752,537.372671
0.545455,372,98.4,4000,662.401178,149.47264
1,1841.62,384.68,7500,7780.322889,950.496396
1,1678.07,853.86,6500,682.930065,512.073385
1,11674.64,2273.68,16000,10377.3612,2372.97281
1,2094.38,0,4500,576.699993,556.378998
0.909091,0,0,3000,3418.06811,1384.882852
1,411.38,0,2500,1403.266638,513.547978
0.545455,99.19,99.19,4000,209.014647,147.337498
0.363636,525,0,2500,3747.367504,82.631551
